"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.095499843E-3;6.409671021E-1;2.622546387E0;8.771010590E0;9.177102764E0
1.115250005E-2;7.439529419E-1;2.535427551E0;8.815019073E0;9.202522486E0
2.120950003E-2;7.518864441E-1;2.468965759E0;9.019344177E0;9.381348226E0
3.126650001E-2;6.571334839E-1;2.393223267E0;9.258097687E0;9.584973385E0
4.132349999E-2;1.246008911E0;2.051034851E0;9.494905243E0;9.793493133E0
5.138049996E-2;1.010997620E0;2.266137543E0;1.013617172E1;1.043549102E1
6.143749994E-2;7.578739929E-1;2.388283539E0;1.008243347E1;1.038911623E1
7.149449992E-2;7.102729797E-1;2.221530304E0;9.859846344E0;1.013194229E1
8.155149990E-2;3.864962769E-1;2.090852051E0;9.765392761E0;9.994195188E0
9.160849988E-2;1.802252197E-1;2.016756134E0;9.633816376E0;9.844298065E0
1.016654999E-1;1.712438965E-1;1.979783020E0;9.579928436E0;9.783858856E0
1.117225001E-1;2.489323425E-1;1.991608429E0;9.586215363E0;9.794079662E0
1.217795000E-1;3.884422302E-1;2.006277924E0;9.558672638E0;9.774674474E0
1.318365000E-1;5.424719238E-1;2.022144928E0;9.523196411E0;9.750621302E0
1.418935000E-1;7.674540710E-1;2.071093140E0;9.521699524E0;9.774516580E0
1.519505000E-1;9.418414307E-1;2.131268005E0;9.600884857E0;9.879593040E0
1.620075000E-1;9.050180054E-1;2.161056061E0;9.726473694E0;1.000467448E1
1.720654999E-1;6.909631348E-1;2.133513336E0;9.829609222E0;1.008218859E1
1.821224999E-1;4.126918030E-1;2.065404968E0;9.844278717E0;1.006707682E1
1.921794999E-1;1.730401611E-1;2.101479950E0;9.751621399E0;9.976987561E0
2.022364999E-1;9.939331055E-2;2.163151703E0;9.612560577E0;9.853447375E0
2.122934998E-1;1.463955688E-1;2.170037384E0;9.399553528E0;9.647906531E0
2.223505001E-1;1.736389160E-1;2.196831665E0;9.212442627E0;9.472344957E0
2.324075000E-1;2.323168945E-1;2.221530304E0;9.153315582E0;9.421908203E0
2.424645000E-1;2.734812927E-1;2.229314117E0;9.263187103E0;9.531593191E0
2.525215000E-1;1.772314453E-1;2.233505402E0;9.518705750E0;9.778840244E0
2.625785000E-1;8.951385498E-2;2.204016724E0;9.837842102E0;1.008210492E1
2.726354999E-1;1.076261902E-1;2.106120300E0;1.011207184E1;1.032963325E1
2.826924999E-1;1.640588379E-1;2.027234344E0;1.020413040E1;1.040484847E1
2.927494999E-1;2.167492676E-1;2.052980804E0;1.006551865E1;1.027503655E1
3.028064999E-1;2.329156494E-1;2.106269989E0;9.790839844E0;1.001754300E1
3.128634999E-1;1.673519897E-1;2.088756409E0;9.533075867E0;9.760658047E0
3.229205001E-1;5.763015747E-2;2.084714813E0;9.429940338E0;9.657801606E0
3.329775000E-1;-3.936813354E-2;2.100432129E0;9.454638977E0;9.685223960E0
3.430345000E-1;-5.673202515E-2;2.086062012E0;9.580377502E0;9.805024545E0
3.530915000E-1;-6.346801758E-2;2.091001740E0;9.696535950E0;9.919633355E0
3.631485000E-1;5.224136353E-2;2.111808472E0;9.743388519E0;9.969758473E0
